"","Date","City","State","Shape","Duration","Description","Posted","lat","long"
"1914",2019-06-27 23:00:00,"Orr","MN","Sphere","20 seconds","Orange Orb at Myrtle Lake",2019-12-19,48.053527,-92.831002
"1915",2019-06-27 22:20:00,"Marietta","GA","Triangle","3 minutes","Slow-moving triangle aircraft visible in night sky. ((anonymous report))",2019-07-05,33.9528472,-84.5496148
"1916",2019-06-27 22:00:00,"Dayton","OH","Light",">2 hours","5 bright flashing lights in the clouds with no known origin and in the same spots. Lasted at least 2 hours",2019-07-05,NA,NA
"1917",2019-06-27 22:00:00,"Allison Park","PA",NA,"5 minutes","I saw circular disk with bright lights , speaker malfunction, strange noises.",2019-08-23,34.8778611,-85.9594239
"1918",2019-06-27 21:00:00,"Corte Madera","CA","Sphere","15 minutes","Groups of spherical star like objects appearing in loose and distinct formations.",2019-08-23,37.9254806,-122.5274755
"1919",2019-06-27 20:30:00,"Wildomar","CA","Light","30 seconds","It shot down from space and went north as a bright light wich i thought was a shooting star, it faded away. ((anonymous report))",2019-07-05,33.5939372,-117.2414989
"1920",2019-06-27 20:30:00,"Gold Canyon","AZ","Unknown","1 minute","Very faint light traveling quickly across the sky, in an E to W path. Thought it was a satellite until it took a deep plunge (abo",2019-07-05,33.35546555,-111.471525178721
"1921",2019-06-27 20:00:00,"Terryville","CT","Sphere","5 minutes","Large sphere-shaped solid lights on side of craft.",2019-07-05,40.9102533,-73.0507905043373
"1922",2019-06-27 16:54:00,"Santa Claus","IN",NA,NA,"MADAR Node 114",2019-07-05,38.1231365,-86.9153819244851
"1923",2019-06-27 10:49:00,"Monticello","IN","Unknown","10 seconds","((NUFORC Note: Witness includes no informtion. PD))",2019-07-12,42.617236,8.9546269
"1924",2019-06-27 10:07:00,"Flora","IL","Sphere","30 minutes","I witnessed a UFO and caught it on video 3 times in one night.",2019-07-12,43.184,2.48911
"1925",2019-06-27 03:15:00,"Wadsworth","OH","Unknown","6 seconds","Fast flying object. ((anonymous report))",2019-06-27,NA,NA
"1926",2019-06-27 01:00:00,"West Bowmanstown","PA","Triangle","First 3min seconed 3 min.","Spotted it behind my property next to Rt 476 North just out side of the turnpike tunnel,at 12:30 AM,then at 1:28AM it hovered over my m",2019-08-23,NA,NA
"1927",2019-06-27 01:00:00,"Edisto","SC","Circle","6 minutes","Circular shaped object spotted off the coast of Edisto beach. Object glowed and tracked at a steady pace.",2019-06-27,33.4780715,-80.8924958257021
"1928",2019-06-26 23:27:00,"American Falls","ID","Circle","5 minutes","Bright moving object in the sky in American Falls, Idaho",2019-06-27,42.7860227,-112.8544377
"1929",2019-06-26 22:30:00,"Woodbine","GA",NA,NA,"MADAR Node 154",2019-07-05,41.7371999,-95.7012869
"1930",2019-06-26 22:30:00,"Lake City","FL","Light","180 seconds","Light meandering West to Easy in North Florida.",2019-06-27,30.1896756,-82.6392899
"1931",2019-06-26 20:30:00,"Nesquehoning","PA","Oval","Several Minutes","I saw three oval shaped crafts flying very slowly about 20,000 feet.",2019-08-23,NA,NA
"1932",2019-06-26 20:00:00,"Anderson","SC","Formation","10 minutes","Riding down the road and we saw 50-75 flying objects Different shapes the were spread out and all went in single file into the clouds.",2019-07-05,34.5068601,-82.6506264
"1933",2019-06-26 20:00:00,"Wilkes Barre","PA","Diamond","5 minutes","It was a triangular to diamond shaped spacecraft with massive white beam lights on all sides of it facing the ground as it flew over.",2019-07-05,NA,NA
"1934",2019-06-26 19:15:00,"Freeport","NY","Cigar","4 seconds","Bright light, shooting across the sky, ""shooting star,"" on a bright clear day and just disappeared.",2019-07-05,40.6576022,-73.5831835
"1935",2019-06-26 16:21:00,"Cambridge","OH",NA,NA,"MADAR Node 137",2019-07-05,NA,NA
"1936",2019-06-26 08:30:00,"Abilene","TX","Changing","10 seconds","4 white lights in a shape of a square then changed into 1 bright light and traveled faster until I looked again, it was gone",2019-07-05,32.44645,-99.7475905
"1937",2019-06-26 05:30:00,"Albuquerque","NM","Fireball","3 seconds","saw what looked almost like a rocket, very high elevation, shoot across the sky in 3 bursts of speed and color from rear of whatever it",2019-06-27,35.0841034,-106.6509851
"1938",2019-06-26 01:30:00,"Shamong","NJ","Triangle","2-3 minutes","Red Lights appeared and darted away late at night in NJ Pine Barrens",2019-06-27,39.7824265,-74.7303377437071
"1939",2019-06-25 23:47:00,"Rogerson","ID","Formation","17 minutes","Very near Idaho/Nevada border, I picked up a strange radio station and spotted at least one UFO - I didn't believe until last night.",2019-06-27,NA,NA
"1940",2019-06-25 22:00:00,"Tybee Island","GA","Triangle","20 seconds","One craft hovered over the ocean at Tybee Island. It was moving N along the coast at a fairly slow speed. ((anonymous report))",2019-07-05,31.9987321,-80.8469427
"1941",2019-06-25 22:00:00,"Greenville","WI","Circle","1 minute","Craft with three lights.",2019-07-05,44.3007609,-88.5369791
"1942",2019-06-25 21:15:00,"Brick","NJ","Flash","90 seconds","Flash of light that jumped to another spot in the sky.",2019-06-27,40.0707244,-74.1280562
"1943",2019-06-25 19:00:00,"Guaranda (Ecuador)",NA,"Formation","20 seconds","ufo´s flying in V-formation.",2019-07-05,NA,NA
"1944",2019-06-25 16:30:00,"Savannah","GA","Sphere","30 seconds","Triangle formation of orbs or spheres over Savannah.",2019-06-27,32.0809263,-81.0911768
"1945",2019-06-25 12:32:00,"River Vale","NJ",NA,NA,"MADAR Node 146",2019-07-05,40.9953754,-74.0120832
"1946",2019-06-25 08:53:00,"Newburgh","IN",NA,NA,"MADAR Node 142",2019-07-05,37.9456824,-87.4046571
"1947",2019-06-25 05:30:00,"Tacoma","WA","Light","6 hours","((NUFOrC Note: Witness provides no information. PD))",2020-02-07,47.2495798,-122.4398746
"1948",2019-06-25 04:30:00,"Mayport","FL","Sphere","30 minutes","Star-like object making small erratic movements... up, right, down, rotating in circles. Gets brighter and dimmer irregularly. Looks ex",2019-06-27,30.3933366,-81.4305924
"1949",2019-06-25 03:30:00,"Miramar","FL","Fireball","3 minutes","Orange probe like lights.",2019-06-27,25.9873137,-80.2322706
"1950",2019-06-25 02:37:00,"Lakeland","FL","Unknown","<1 minute","2 bright objects disappeared then heard rumbling east sky",2019-06-27,28.0394654,-81.9498042
"1951",2019-06-25 02:33:00,"Fort Lauderdale","FL","Light","5-7 minutes","Red gas emitting from bright yellow light UFO",2019-07-05,26.1223084,-80.1433786
"1952",2019-06-25 01:47:00,"Washington twp","MI","Circle","Night","We seen this bright light we thought it was a plane but planes don't sit still it was about 1:47 at night when we seen the light it sat",2019-07-12,42.7244759,-83.0360419
"1953",2019-06-25 01:30:00,"New Harbor","ME","Sphere","2-3 minutes","Two bright yellow-orange soundless orbs seen at night.",2019-09-19,43.8759162,-69.4900468
"1954",2019-06-25 01:28:00,"Dammeron Valley","UT","Light","40 minutes","Multiple lights spotted North East of Dammeron Valley.",2019-06-27,NA,NA
"1955",2019-06-25 00:55:00,"Jacksonville","FL","Teardrop","139 seconds","Visitor for the heaves before the Falcon Heavy 9 launch on June 25 2019.",2019-06-27,30.3321838,-81.655651
"1956",2019-06-25 00:10:00,"Tacoma","WA","Triangle","3 seconds","Lightless triangle aircraft-black- sighted overhead flying low directed east-northeast. ((anonymous report))",2019-06-27,47.2495798,-122.4398746
"1957",2019-06-24 23:00:00,"Rankin","IL","Fireball","150 seconds","Large and small fireball object",2019-06-27,31.2226477,-101.9379085
