"GEOID","county","state","variable","estimate","total","casepercap"
"26033","Chippewa","Michigan","pop",6400,894,13968.75
"27023","Chippewa","Minnesota","pop",3200,934,29187.5
"55017","Chippewa","Wisconsin","pop",11000,4846,44054.5454545454
"27025","Chisago","Minnesota","pop",8100,3204,39555.5555555556
"50007","Chittenden","Vermont","pop",15000,1511,10073.3333333333
"01023","Choctaw","Alabama","pop",1400,431,30785.7142857143
"28019","Choctaw","Mississippi","pop",850,361,42470.5882352941
"40023","Choctaw","Oklahoma","pop",2900,710,24482.7586206897
"30015","Chouteau","Montana","pop",1500,276,18400
"37041","Chowan","North Carolina","pop",800,644,80500
"17021","Christian","Illinois","pop",4800,1914,39875
"21047","Christian","Kentucky","pop",6100,3052,50032.7868852459
"29043","Christian","Missouri","pop",6700,4214,62895.5223880597
"32001","Churchill","Nevada","pop",2100,864,41142.8571428571
"35006","Cibola","New Mexico","pop",2800,2143,76535.7142857143
"40025","Cimarron","Oklahoma","pop",550,80,14545.4545454545
"12017","Citrus","Florida","pop",8200,4790,58414.6341463415
"41005","Clackamas","Oregon","pop",28500,6548,22975.4385964912
"28021","Claiborne","Mississippi","pop",800,589,73625
"47025","Claiborne","Tennessee","pop",2700,933,34555.5555555556
"53009","Clallam","Washington","pop",6900,484,7014.49275362319
"26035","Clare","Michigan","pop",5400,789,14611.1111111111
"45027","Clarendon","South Carolina","pop",3300,1391,42151.5151515152
"42031","Clarion","Pennsylvania","pop",9100,1025,11263.7362637363
"05019","Clark","Arkansas","pop",2400,841,35041.6666666667
"16033","Clark","Idaho","pop",200,49,24500
"17023","Clark","Illinois","pop",1900,815,42894.7368421053
"18019","Clark","Indiana","pop",8400,5568,66285.7142857143
"20025","Clark","Kansas","pop",550,140,25454.5454545455
"21049","Clark","Kentucky","pop",3100,949,30612.9032258065
"29045","Clark","Missouri","pop",1200,303,25250
"32003","Clark","Nevada","pop",147000,118412,80552.3809523809
"39023","Clark","Ohio","pop",13500,5799,42955.5555555556
"46025","Clark","South Dakota","pop",800,254,31750
"53011","Clark","Washington","pop",37500,8914,23770.6666666667
"55019","Clark","Wisconsin","pop",12000,2362,19683.3333333333
"01025","Clarke","Alabama","pop",2100,1610,76666.6666666667
"13059","Clarke","Georgia","pop",8700,8038,92390.8045977011
"19039","Clarke","Iowa","pop",1200,494,41166.6666666667
"28023","Clarke","Mississippi","pop",1400,936,66857.1428571429
"51043","Clarke","Virginia","pop",1200,208,17333.3333333333
"41007","Clatsop","Oregon","pop",3600,368,10222.2222222222
"01027","Clay","Alabama","pop",1000,928,92800
"05021","Clay","Arkansas","pop",2000,914,45700
"12019","Clay","Florida","pop",10500,8107,77209.5238095238
"13061","Clay","Georgia","pop",350,150,42857.1428571429
"17025","Clay","Illinois","pop",1600,873,54562.5
"18021","Clay","Indiana","pop",2900,1366,47103.4482758621
"19041","Clay","Iowa","pop",2200,1200,54545.4545454545
"20027","Clay","Kansas","pop",1100,453,41181.8181818182
"21051","Clay","Kentucky","pop",1700,1039,61117.6470588235
"27027","Clay","Minnesota","pop",9000,5141,57122.2222222222
"28025","Clay","Mississippi","pop",1400,947,67642.8571428571
"29047","Clay","Missouri","pop",17000,4959,29170.5882352941
"31035","Clay","Nebraska","pop",1800,407,22611.1111111111
"37043","Clay","North Carolina","pop",700,284,40571.4285714286
"46027","Clay","South Dakota","pop",1600,1377,86062.5
"47027","Clay","Tennessee","pop",650,562,86461.5384615385
"48077","Clay","Texas","pop",1600,317,19812.5
"54015","Clay","West Virginia","pop",700,120,17142.8571428571
"13063","Clayton","Georgia","pop",14500,10598,73089.6551724138
"19043","Clayton","Iowa","pop",3500,1132,32342.8571428571
"08019","Clear Creek","Colorado","pop",900,193,21444.4444444444
"42033","Clearfield","Pennsylvania","pop",13500,1775,13148.1481481481
"16035","Clearwater","Idaho","pop",1600,560,35000
"27029","Clearwater","Minnesota","pop",3300,534,16181.8181818182
"01029","Cleburne","Alabama","pop",1600,788,49250
"05023","Cleburne","Arkansas","pop",2400,752,31333.3333333333
"39025","Clermont","Ohio","pop",15500,6799,43864.5161290323
"05025","Cleveland","Arkansas","pop",1000,379,37900
"37045","Cleveland","North Carolina","pop",7800,4378,56128.2051282051
"40027","Cleveland","Oklahoma","pop",21000,13132,62533.3333333333
"13065","Clinch","Georgia","pop",600,536,89333.3333333333
"17027","Clinton","Illinois","pop",5900,3380,57288.1355932203
"18023","Clinton","Indiana","pop",3500,1981,56600
"19045","Clinton","Iowa","pop",5500,3390,61636.3636363636
"21053","Clinton","Kentucky","pop",850,501,58941.1764705882
"26037","Clinton","Michigan","pop",10500,2871,27342.8571428571
"29049","Clinton","Missouri","pop",2500,904,36160
"36019","Clinton","New York","pop",8100,480,5925.92592592593
"39027","Clinton","Ohio","pop",4400,1220,27727.2727272727
"42035","Clinton","Pennsylvania","pop",7400,775,10472.972972973
"20029","Cloud","Kansas","pop",1500,613,40866.6666666667
"28027","Coahoma","Mississippi","pop",2100,1527,72714.2857142857
"40029","Coal","Oklahoma","pop",1500,322,21466.6666666667
"13067","Cobb","Georgia","pop",43500,30530,70183.908045977
"04003","Cochise","Arizona","pop",11000,3781,34372.7272727273
"48079","Cochran","Texas","pop",650,155,23846.1538461538
"47029","Cocke","Tennessee","pop",2300,1683,73173.9130434783
"04005","Coconino","Arizona","pop",13000,7575,58269.2307692308
"46029","Codington","South Dakota","pop",3000,2700,90000
"01031","Coffee","Alabama","pop",7300,2500,34246.5753424658
"13069","Coffee","Georgia","pop",3000,3005,100166.666666667
"47031","Coffee","Tennessee","pop",3600,2990,83055.5555555556
"20031","Coffey","Kansas","pop",2100,309,14714.2857142857
"48081","Coke","Texas","pop",600,204,34000
"01033","Colbert","Alabama","pop",4300,3320,77209.3023255814
"29051","Cole","Missouri","pop",6900,6280,91014.4927536232
"48083","Coleman","Texas","pop",950,179,18842.1052631579
"17029","Coles","Illinois","pop",5000,3369,67380
"31037","Colfax","Nebraska","pop",1300,1317,101307.692307692
"35007","Colfax","New Mexico","pop",1300,248,19076.9230769231
"45029","Colleton","South Carolina","pop",2800,1485,53035.7142857143
"12021","Collier","Florida","pop",21000,17911,85290.4761904762
"48085","Collin","Texas","pop",61000,26990,44245.9016393443
"48087","Collingsworth","Texas","pop",450,41,9111.11111111111
"48089","Colorado","Texas","pop",1400,679,48500
"13071","Colquitt","Georgia","pop",3100,2603,83967.7419354839
"05027","Columbia","Arkansas","pop",1900,1127,59315.7894736842
"12023","Columbia","Florida","pop",4500,4821,107133.333333333
"13073","Columbia","Georgia","pop",7100,6602,92985.9154929577
"36021","Columbia","New York","pop",7400,1035,13986.4864864865
"41009","Columbia","Oregon","pop",4100,526,12829.2682926829
"42037","Columbia","Pennsylvania","pop",11500,1496,13008.6956521739
"53013","Columbia","Washington","pop",550,39,7090.90909090909
"55021","Columbia","Wisconsin","pop",11500,3697,32147.8260869565
"39029","Columbiana","Ohio","pop",9100,3952,43428.5714285714
"37047","Columbus","North Carolina","pop",4800,2766,57625
"06011","Colusa","California","pop",1900,747,39315.7894736842
"48091","Comal","Texas","pop",8100,4592,56691.3580246914
"20033","Comanche","Kansas","pop",450,82,18222.2222222222
"40031","Comanche","Oklahoma","pop",11000,4921,44736.3636363636
"48093","Comanche","Texas","pop",1400,493,35214.2857142857
"48095","Concho","Texas","pop",550,128,23272.7272727273
"01035","Conecuh","Alabama","pop",950,700,73684.2105263158
"08021","Conejos","Colorado","pop",1500,173,11533.3333333333
"06013","Contra Costa","California","pop",75000,24914,33218.6666666667
"56009","Converse","Wyoming","pop",1100,637,57909.0909090909
"05029","Conway","Arkansas","pop",2200,695,31590.9090909091
"13075","Cook","Georgia","pop",1600,910,56875
"17031","Cook","Illinois","pop",375000,310722,82859.2
"27031","Cook","Minnesota","pop",1200,78,6500
"48097","Cooke","Texas","pop",3900,955,24487.1794871795
"29053","Cooper","Missouri","pop",3600,1173,32583.3333333333
"33007","Coos","New Hampshire","pop",5100,323,6333.33333333333
"41011","Coos","Oregon","pop",4500,443,9844.44444444445
"01037","Coosa","Alabama","pop",850,366,43058.8235294118
"28029","Copiah","Mississippi","pop",2200,1679,76318.1818181818
"46031","Corson","South Dakota","pop",1500,389,25933.3333333333
"36023","Cortland","New York","pop",7000,1082,15457.1428571429
"48099","Coryell","Texas","pop",7300,2539,34780.8219178082
"39031","Coshocton","Ohio","pop",3700,972,26270.2702702703
"08023","Costilla","Colorado","pop",550,84,15272.7272727273
"48101","Cottle","Texas","pop",300,58,19333.3333333333
"40033","Cotton","Oklahoma","pop",950,253,26631.5789473684
"27033","Cottonwood","Minnesota","pop",2700,908,33629.6296296296
"01039","Covington","Alabama","pop",4100,2250,54878.0487804878
"28031","Covington","Mississippi","pop",1100,1286,116909.090909091
"13077","Coweta","Georgia","pop",8400,5497,65440.4761904762
"20035","Cowley","Kansas","pop",4400,1631,37068.1818181818
"53015","Cowlitz","Washington","pop",7300,1459,19986.301369863
"40035","Craig","Oklahoma","pop",3100,960,30967.7419354839
"51045","Craig","Virginia","pop",300,90,30000
"05031","Craighead","Arkansas","pop",7200,7235,100486.111111111
"48103","Crane","Texas","pop",450,256,56888.8888888889
"37049","Craven","North Carolina","pop",7200,3157,43847.2222222222
"05033","Crawford","Arkansas","pop",4700,3126,66510.6382978723
"13079","Crawford","Georgia","pop",900,258,28666.6666666667
"17033","Crawford","Illinois","pop",2900,1150,39655.1724137931
"18025","Crawford","Indiana","pop",1500,331,22066.6666666667
"19047","Crawford","Iowa","pop",2900,1790,61724.1379310345
"20037","Crawford","Kansas","pop",4400,2427,55159.0909090909
"26039","Crawford","Michigan","pop",2400,365,15208.3333333333
"29055","Crawford","Missouri","pop",2200,1217,55318.1818181818
"39033","Crawford","Ohio","pop",4300,1502,34930.2325581395
"42039","Crawford","Pennsylvania","pop",17000,2007,11805.8823529412
"55023","Crawford","Wisconsin","pop",4700,1343,28574.4680851064
"40037","Creek","Oklahoma","pop",10500,2725,25952.380952381
"01041","Crenshaw","Alabama","pop",1800,722,40111.1111111111
"13081","Crisp","Georgia","pop",1400,942,67285.7142857143
"05035","Crittenden","Arkansas","pop",4600,3288,71478.2608695652
"21055","Crittenden","Kentucky","pop",1000,254,25400
"47033","Crockett","Tennessee","pop",1900,1177,61947.3684210526
"48105","Crockett","Texas","pop",200,298,149000
"41013","Crook","Oregon","pop",1400,237,16928.5714285714
"56011","Crook","Wyoming","pop",900,308,34222.2222222222
"48107","Crosby","Texas","pop",1000,175,17500
"05037","Cross","Arkansas","pop",1700,881,51823.5294117647
"27035","Crow Wing","Minnesota","pop",11500,3712,32278.2608695652
"08025","Crowley","Colorado","pop",800,1241,155125
"48109","Culberson","Texas","pop",300,225,75000
"01043","Cullman","Alabama","pop",6500,4624,71138.4615384615
"51047","Culpeper","Virginia","pop",3500,2245,64142.8571428571
"17035","Cumberland","Illinois","pop",1700,631,37117.6470588235
"21057","Cumberland","Kentucky","pop",650,303,46615.3846153846
"23005","Cumberland","Maine","pop",23000,3869,16821.7391304348
"34011","Cumberland","New Jersey","pop",13500,5176,38340.7407407407
"37051","Cumberland","North Carolina","pop",26000,9557,36757.6923076923
"42041","Cumberland","Pennsylvania","pop",22000,5240,23818.1818181818
"47035","Cumberland","Tennessee","pop",4600,2699,58673.9130434783
"51049","Cumberland","Virginia","pop",600,161,26833.3333333333
"31039","Cuming","Nebraska","pop",1500,607,40466.6666666667
"37053","Currituck","North Carolina","pop",1900,332,17473.6842105263
"35009","Curry","New Mexico","pop",3800,3243,85342.1052631579
"41015","Curry","Oregon","pop",1400,143,10214.2857142857
"08027","Custer","Colorado","pop",450,76,16888.8888888889
"16037","Custer","Idaho","pop",450,150,33333.3333333333
"30017","Custer","Montana","pop",1900,751,39526.3157894737
"31041","Custer","Nebraska","pop",2300,483,21000
"40039","Custer","Oklahoma","pop",2300,2043,88826.0869565217
"46033","Custer","South Dakota","pop",1100,544,49454.5454545455
"39035","Cuyahoga","Ohio","pop",111000,42270,38081.0810810811
"13083","Dade","Georgia","pop",1400,526,37571.4285714286
"29057","Dade","Missouri","pop",1500,427,28466.6666666667
"49009","Daggett","Utah","pop",150,6,4000
"27037","Dakota","Minnesota","pop",38500,22657,58849.3506493507
"31043","Dakota","Nebraska","pop",2200,3243,147409.090909091
"01045","Dale","Alabama","pop",4500,2390,53111.1111111111
"48111","Dallam","Texas","pop",650,428,65846.1538461538
"01047","Dallas","Alabama","pop",3100,2315,74677.4193548387
"05039","Dallas","Arkansas","pop",900,303,33666.6666666667
"19049","Dallas","Iowa","pop",7700,6476,84103.8961038961
"29059","Dallas","Missouri","pop",1100,606,55090.9090909091
"48113","Dallas","Texas","pop",159000,139977,88035.8490566038
"55025","Dane","Wisconsin","pop",49000,28370,57897.9591836735
"30019","Daniels","Montana","pop",350,122,34857.1428571429
"37055","Dare","North Carolina","pop",3000,654,21800
"39037","Darke","Ohio","pop",6800,2676,39352.9411764706
"45031","Darlington","South Carolina","pop",4400,3021,68659.0909090909
"42043","Dauphin","Pennsylvania","pop",24500,7889,32200
"37057","Davidson","North Carolina","pop",11000,5426,49327.2727272727
"47037","Davidson","Tennessee","pop",47000,47160,100340.425531915
"37059","Davie","North Carolina","pop",2500,1268,50720
"18027","Daviess","Indiana","pop",3200,1705,53281.25
"21059","Daviess","Kentucky","pop",8200,3675,44817.0731707317
"29061","Daviess","Missouri","pop",1900,343,18052.6315789474
"19051","Davis","Iowa","pop",1200,477,39750
"49011","Davis","Utah","pop",24500,16705,68183.6734693878
"46035","Davison","South Dakota","pop",1900,2409,126789.473684211
"31045","Dawes","Nebraska","pop",950,465,48947.3684210526
"13085","Dawson","Georgia","pop",1300,1179,90692.3076923077
"30021","Dawson","Montana","pop",1400,640,45714.2857142857
"31047","Dawson","Nebraska","pop",2700,1997,73962.962962963
"48115","Dawson","Texas","pop",1400,1205,86071.4285714286
"46037","Day","South Dakota","pop",1100,382,34727.2727272727
"35011","De Baca","New Mexico","pop",250,44,17600
"17039","De Witt","Illinois","pop",2200,637,28954.5454545455
"48117","Deaf Smith","Texas","pop",1500,1793,119533.333333333
"18029","Dearborn","Indiana","pop",3900,2450,62820.5128205128
"13087","Decatur","Georgia","pop",2200,1607,73045.4545454545
"18031","Decatur","Indiana","pop",2500,1450,58000
"19053","Decatur","Iowa","pop",1600,324,20250
"20039","Decatur","Kansas","pop",500,201,40200
"47039","Decatur","Tennessee","pop",1400,964,68857.1428571429
"30023","Deer Lodge","Montana","pop",950,732,77052.6315789474
"39039","Defiance","Ohio","pop",3600,1626,45166.6666666667
"01049","DeKalb","Alabama","pop",6300,4981,79063.4920634921
"13089","DeKalb","Georgia","pop",45500,27997,61531.8681318681
"17037","DeKalb","Illinois","pop",9500,5237,55126.3157894737
"18033","DeKalb","Indiana","pop",4000,1978,49450
"29063","DeKalb","Missouri","pop",2200,605,27500
"47041","DeKalb","Tennessee","pop",1800,1235,68611.1111111111
"06015","Del Norte","California","pop",2500,339,13560
"18035","Delaware","Indiana","pop",9700,5311,54752.5773195876
"19055","Delaware","Iowa","pop",2500,1456,58240
"36025","Delaware","New York","pop",6400,375,5859.375
"39041","Delaware","Ohio","pop",15500,6400,41290.3225806452
"40041","Delaware","Oklahoma","pop",6900,1963,28449.2753623188
"42045","Delaware","Pennsylvania","pop",48500,20364,41987.6288659794
"08029","Delta","Colorado","pop",2600,673,25884.6153846154
"26041","Delta","Michigan","pop",5500,2504,45527.2727272727
"48119","Delta","Texas","pop",650,50,7692.30769230769
"29065","Dent","Missouri","pop",1600,528,33000
"48121","Denton","Texas","pop",55500,24133,43482.8828828829
"08031","Denver","Colorado","pop",46000,37421,81350
"19057","Des Moines","Iowa","pop",4300,2920,67906.976744186
"41017","Deschutes","Oregon","pop",9400,2480,26382.9787234043
"05041","Desha","Arkansas","pop",1300,574,44153.8461538462
"12027","DeSoto","Florida","pop",2800,2417,86321.4285714286
"28033","DeSoto","Mississippi","pop",11000,10409,94627.2727272727
"31049","Deuel","Nebraska","pop",550,43,7818.18181818182
"46039","Deuel","South Dakota","pop",1000,311,31100
"40043","Dewey","Oklahoma","pop",950,237,24947.3684210526
"46041","Dewey","South Dakota","pop",1400,885,63214.2857142857
"48123","DeWitt","Texas","pop",2100,1243,59190.4761904762
"48125","Dickens","Texas","pop",450,67,14888.8888888889
"51051","Dickenson","Virginia","pop",1500,274,18266.6666666667
"38021","Dickey","North Dakota","pop",950,545,57368.4210526316
"19059","Dickinson","Iowa","pop",2700,1413,52333.3333333333
"20041","Dickinson","Kansas","pop",2600,731,28115.3846153846
"26043","Dickinson","Michigan","pop",3100,1754,56580.6451612903
"47043","Dickson","Tennessee","pop",3800,3025,79605.2631578947
"45033","Dillon","South Carolina","pop",2700,1553,57518.5185185185
"48127","Dimmit","Texas","pop",500,375,75000
"51053","Dinwiddie","Virginia","pop",1900,677,35631.5789473684
"38023","Divide","North Dakota","pop",300,126,42000
"12029","Dixie","Florida","pop",1200,965,80416.6666666667
"31051","Dixon","Nebraska","pop",1600,408,25500
"54017","Doddridge","West Virginia","pop",800,125,15625
"13091","Dodge","Georgia","pop",2100,1093,52047.619047619
"27039","Dodge","Minnesota","pop",5000,888,17760
"31053","Dodge","Nebraska","pop",4200,2952,70285.7142857143
"55027","Dodge","Wisconsin","pop",16000,8822,55137.5
"08033","Dolores","Colorado","pop",350,22,6285.71428571429
"35013","Doña Ana","New Mexico","pop",12000,13862,115516.666666667
"20043","Doniphan","Kansas","pop",1700,516,30352.9411764706
"48129","Donley","Texas","pop",700,113,16142.8571428571
"13093","Dooly","Georgia","pop",1400,493,35214.2857142857
"55029","Door","Wisconsin","pop",6000,1721,28683.3333333333
"24019","Dorchester","Maryland","pop",3300,1021,30939.3939393939
"45035","Dorchester","South Carolina","pop",9300,5910,63548.3870967742
"13095","Dougherty","Georgia","pop",6400,3782,59093.75
"08035","Douglas","Colorado","pop",25000,11247,44988
"13097","Douglas","Georgia","pop",6800,5828,85705.8823529412
"17041","Douglas","Illinois","pop",2900,1385,47758.6206896552
"20045","Douglas","Kansas","pop",8000,4928,61600
"27041","Douglas","Minnesota","pop",8100,2716,33530.8641975309
"29067","Douglas","Missouri","pop",1100,447,40636.3636363636
"31055","Douglas","Nebraska","pop",50000,41227,82454
"32005","Douglas","Nevada","pop",5100,1052,20627.4509803922
"41019","Douglas","Oregon","pop",8300,967,11650.6024096386
"46043","Douglas","South Dakota","pop",800,295,36875
"53017","Douglas","Washington","pop",3700,2011,54351.3513513514
"55031","Douglas","Wisconsin","pop",8000,2217,27712.5
"05043","Drew","Arkansas","pop",1400,763,54500
"18037","Dubois","Indiana","pop",3200,2575,80468.75
"19061","Dubuque","Iowa","pop",12000,9342,77850
"49013","Duchesne","Utah","pop",3900,531,13615.3846153846
"25007","Dukes","Massachusetts","pop",1200,279,23250
"31057","Dundy","Nebraska","pop",400,65,16250
"29069","Dunklin","Missouri","pop",3600,1720,47777.7777777778
"38025","Dunn","North Dakota","pop",900,305,33888.8888888889
"55033","Dunn","Wisconsin","pop",9400,2945,31329.7872340426
"17043","DuPage","Illinois","pop",80500,47179,58607.4534161491
"37061","Duplin","North Carolina","pop",3800,3384,89052.6315789474
"37063","Durham","North Carolina","pop",18500,11559,62481.0810810811
"36027","Dutchess","New York","pop",26000,7354,28284.6153846154
"12031","Duval","Florida","pop",54000,44450,82314.8148148148
"48131","Duval","Texas","pop",750,632,84266.6666666667
"47045","Dyer","Tennessee","pop",2500,3283,131320
"08037","Eagle","Colorado","pop",2600,2403,92423.0769230769
"13099","Early","Georgia","pop",1000,698,69800
"48133","Eastland","Texas","pop",1400,369,26357.1428571429
"26045","Eaton","Michigan","pop",13000,3254,25030.7692307692
"55035","Eau Claire","Wisconsin","pop",11000,8000,72727.2727272727
"13101","Echols","Georgia","pop",350,284,81142.8571428571
"48135","Ector","Texas","pop",8200,9140,111463.414634146
"35015","Eddy","New Mexico","pop",3400,3029,89088.2352941177
"38027","Eddy","North Dakota","pop",650,364,56000
"17045","Edgar","Illinois","pop",2500,843,33720
"37065","Edgecombe","North Carolina","pop",3800,2567,67552.6315789474
"45037","Edgefield","South Carolina","pop",2300,1181,51347.8260869565
"21061","Edmonson","Kentucky","pop",1100,400,36363.6363636364
"46045","Edmunds","South Dakota","pop",800,258,32250
"17047","Edwards","Illinois","pop",1300,228,17538.4615384615
"20047","Edwards","Kansas","pop",750,178,23733.3333333333
"48137","Edwards","Texas","pop",150,96,64000
"13103","Effingham","Georgia","pop",3900,2239,57410.2564102564
"17049","Effingham","Illinois","pop",4500,2860,63555.5555555556
"06017","El Dorado","California","pop",13000,2488,19138.4615384615
"08041","El Paso","Colorado","pop",48000,28238,58829.1666666667
"48141","El Paso","Texas","pop",49000,86752,177044.897959184
"08039","Elbert","Colorado","pop",2800,624,22285.7142857143
"13105","Elbert","Georgia","pop",1500,1219,81266.6666666667
"20049","Elk","Kansas","pop",800,58,7250
"42047","Elk","Pennsylvania","pop",3700,557,15054.0540540541
"18039","Elkhart","Indiana","pop",14000,18359,131135.714285714
"32007","Elko","Nevada","pop",3800,2851,75026.3157894737
"21063","Elliott","Kentucky","pop",800,645,80625
"20051","Ellis","Kansas","pop",2400,2404,100166.666666667
"40045","Ellis","Oklahoma","pop",950,220,23157.8947368421
"48139","Ellis","Texas","pop",12000,6898,57483.3333333333
"20053","Ellsworth","Kansas","pop",1400,711,50785.7142857143
"01051","Elmore","Alabama","pop",5800,4211,72603.4482758621
"16039","Elmore","Idaho","pop",2100,931,44333.3333333333
"13107","Emanuel","Georgia","pop",2100,1433,68238.0952380952
"49015","Emery","Utah","pop",1800,338,18777.7777777778
"19063","Emmet","Iowa","pop",1600,771,48187.5
"26047","Emmet","Michigan","pop",6400,1080,16875
"38029","Emmons","North Dakota","pop",1000,349,34900
"48143","Erath","Texas","pop",2700,1339,49592.5925925926
"36029","Erie","New York","pop",72000,26042,36169.4444444444
"39043","Erie","Ohio","pop",6100,2578,42262.2950819672
"42049","Erie","Pennsylvania","pop",28000,5620,20071.4285714286
"01053","Escambia","Alabama","pop",3200,2023,63218.75
"12033","Escambia","Florida","pop",20500,16872,82302.4390243902
"32009","Esmeralda","Nevada","pop",200,10,5000
"25009","Essex","Massachusetts","pop",55500,35205,63432.4324324324
"34013","Essex","New Jersey","pop",55000,36021,65492.7272727273
"36031","Essex","New York","pop",5100,297,5823.52941176471
"50009","Essex","Vermont","pop",1700,42,2470.58823529412
"51057","Essex","Virginia","pop",800,255,31875
"21065","Estill","Kentucky","pop",1300,484,37230.7692307692
"01055","Etowah","Alabama","pop",8000,6561,82012.5
"32011","Eureka","Nevada","pop",150,22,14666.6666666667
"13109","Evans","Georgia","pop",1100,558,50727.2727272727
"51059","Fairfax","Virginia","pop",92500,31287,33823.7837837838
"09001","Fairfield","Connecticut","pop",71500,38756,54204.1958041958
"39045","Fairfield","Ohio","pop",12500,6113,48904
"45039","Fairfield","South Carolina","pop",1400,1051,75071.4285714286
"46047","Fall River","South Dakota","pop",800,365,45625
"30025","Fallon","Montana","pop",400,248,62000
"48145","Falls","Texas","pop",1700,813,47823.5294117647
"13111","Fannin","Georgia","pop",1800,1040,57777.7777777778
"48147","Fannin","Texas","pop",4500,1000,22222.2222222222
"27043","Faribault","Minnesota","pop",4800,580,12083.3333333333
"46049","Faulk","South Dakota","pop",550,280,50909.0909090909
"05045","Faulkner","Arkansas","pop",9400,4907,52202.1276595745
"51061","Fauquier","Virginia","pop",6200,1518,24483.8709677419
"01057","Fayette","Alabama","pop",1600,946,59125
"13113","Fayette","Georgia","pop",7300,3363,46068.4931506849
"17051","Fayette","Illinois","pop",3200,1812,56625
"18041","Fayette","Indiana","pop",2100,1746,83142.8571428571
"19065","Fayette","Iowa","pop",3900,1076,27589.7435897436
"21067","Fayette","Kentucky","pop",25000,17654,70616
"39047","Fayette","Ohio","pop",3100,1037,33451.6129032258
"42051","Fayette","Pennsylvania","pop",15000,2299,15326.6666666667
"47047","Fayette","Tennessee","pop",4300,2329,54162.7906976744
"48149","Fayette","Texas","pop",2500,607,24280
"54019","Fayette","West Virginia","pop",3600,1177,32694.4444444444
"47049","Fentress","Tennessee","pop",1500,1253,83533.3333333333
"30027","Fergus","Montana","pop",1700,644,37882.3529411765
"53019","Ferry","Washington","pop",1200,80,6666.66666666667
"27045","Fillmore","Minnesota","pop",7100,732,10309.8591549296
"31059","Fillmore","Nebraska","pop",1500,340,22666.6666666667
"20055","Finney","Kansas","pop",3300,4628,140242.424242424
"48151","Fisher","Texas","pop",750,162,21600
"12035","Flagler","Florida","pop",6700,2764,41253.7313432836
"30029","Flathead","Montana","pop",8300,6884,82939.7590361446
"21069","Fleming","Kentucky","pop",1500,358,23866.6666666667
"45041","Florence","South Carolina","pop",10000,6783,67830
"55037","Florence","Wisconsin","pop",1100,344,31272.7272727273
"13115","Floyd","Georgia","pop",6600,5667,85863.6363636364
"18043","Floyd","Indiana","pop",7100,3427,48267.6056338028
"19067","Floyd","Iowa","pop",2100,1080,51428.5714285714
"21071","Floyd","Kentucky","pop",2700,1292,47851.8518518519
"48153","Floyd","Texas","pop",750,186,24800
"51063","Floyd","Virginia","pop",1000,352,35200
"51065","Fluvanna","Virginia","pop",1800,503,27944.4444444444
"48155","Foard","Texas","pop",200,32,16000
"55039","Fond du Lac","Wisconsin","pop",15000,8947,59646.6666666667
"17053","Ford","Illinois","pop",2400,781,32541.6666666667
"20057","Ford","Kansas","pop",2800,4650,166071.428571429
"42053","Forest","Pennsylvania","pop",1800,101,5611.11111111111
"55041","Forest","Wisconsin","pop",3100,775,25000
"28035","Forrest","Mississippi","pop",4400,3897,88568.1818181818
"13117","Forsyth","Georgia","pop",18500,7037,38037.8378378378
"37067","Forsyth","North Carolina","pop",28000,13538,48350
"48157","Fort Bend","Texas","pop",33500,22501,67167.1641791045
"38031","Foster","North Dakota","pop",700,497,71000
"18045","Fountain","Indiana","pop",2400,899,37458.3333333333
"01059","Franklin","Alabama","pop",2400,2574,107250
"05047","Franklin","Arkansas","pop",1500,803,53533.3333333333
"12037","Franklin","Florida","pop",1300,830,63846.1538461538
"13119","Franklin","Georgia","pop",2100,1263,60142.8571428571
"16041","Franklin","Idaho","pop",1600,723,45187.5
"17055","Franklin","Illinois","pop",5500,2109,38345.4545454545
"18047","Franklin","Indiana","pop",2200,800,36363.6363636364
"19069","Franklin","Iowa","pop",1600,745,46562.5
"20059","Franklin","Kansas","pop",3100,1115,35967.7419354839
"21073","Franklin","Kentucky","pop",3400,1442,42411.7647058824
"23007","Franklin","Maine","pop",4100,223,5439.0243902439
"25011","Franklin","Massachusetts","pop",10500,658,6266.66666666667
"28037","Franklin","Mississippi","pop",750,355,47333.3333333333
"29071","Franklin","Missouri","pop",7800,4930,63205.1282051282
"31061","Franklin","Nebraska","pop",950,173,18210.5263157895
"36033","Franklin","New York","pop",7400,271,3662.16216216216
"37069","Franklin","North Carolina","pop",4500,2045,45444.4444444444
"39049","Franklin","Ohio","pop",88500,55382,62578.5310734463
"42055","Franklin","Pennsylvania","pop",12000,4662,38850
"47051","Franklin","Tennessee","pop",3800,2210,58157.8947368421
"48159","Franklin","Texas","pop",750,251,33466.6666666667
"50011","Franklin","Vermont","pop",5100,260,5098.03921568627
"51067","Franklin","Virginia","pop",3400,1642,48294.1176470588
"53021","Franklin","Washington","pop",5000,6755,135100
"24021","Frederick","Maryland","pop",22500,6957,30920
"51069","Frederick","Virginia","pop",5900,2266,38406.7796610169
"27047","Freeborn","Minnesota","pop",6800,1564,23000
"48161","Freestone","Texas","pop",1900,519,27315.7894736842
"08043","Fremont","Colorado","pop",4800,2859,59562.5
"16043","Fremont","Idaho","pop",1900,732,38526.3157894737
"19071","Fremont","Iowa","pop",1800,369,20500
"56013","Fremont","Wyoming","pop",5800,3390,58448.275862069
